student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating,engagement_score,performance_score,study_consistency,course_load_ratio,activity_rate
Bobby Logan,35.5,Non-Binary,Ncr,Broadband,College,Employed,Laptop,17.8,Academic Requirement,0.0,Cloud Computing Basics,IT,Beginner,18.0,8.0,22.0,2022-08-05,Dropped,2024-12-29,37.9,14.0,14.0,17.0,45.2,Final Exam,92.51,91.79,87.02,1.0,15.0,89.405,804.5600000000001,0.7777777777777778,530.6
Caleb Vasquez,50.0,Female,Car,Broadband,College,Student,Laptop,9.6,Academic Requirement,9.0,Data Science Fundamentals,IT,Beginner,11.0,19.0,10.0,2022-09-11,Ongoing,2024-11-06,48.0,15.0,46.0,16.0,130.4,Quiz,31.38,63.76,75.54,3.0,25.666666666666668,69.65,1251.84,1.0,720.0
None,50.0,Non-Binary,Car,Broadband,College,Employed,Mobile,12.8,Personal Interest,13.0,Cloud Computing Basics,IT,Beginner,16.0,16.0,21.0,2023-05-09,Ongoing,2022-12-31,12.8,24.0,25.0,22.0,77.9,Quiz,72.81,88.06,61.38,5.0,23.666666666666668,74.72,997.1200000000001,1.0,307.20000000000005
Richard Lee,30.0,Non-Binary,Region Iv-A,Broadband,High School,Student,Laptop,9.4,Career Change,0.0,Digital Marketing,IT,Intermediate,24.0,12.0,18.0,,Ongoing,2022-01-08,111.2,22.0,35.0,19.0,58.3,Final Exam,43.55,65.28,58.77,4.0,25.333333333333332,62.025000000000006,548.02,0.9166666666666666,2446.4
Kelly Phelps,41.0,Female,Region Xii,Limited,High School,Employed,Laptop,15.8,Skill Upgrade,9.0,Mobile App Development,IT,Intermediate,25.0,15.0,14.0,,Completed,2022-12-02,94.9,13.0,38.0,0.0,40.5,Quiz,55.1,45.5,67.77,1.0,17.0,56.635,639.9,0.52,1233.7
Jeffrey Jordan,50.0,Non-Binary,Region X,Broadband,Graduate,Employed,Mobile,19.9,Personal Interest,7.0,Digital Marketing,Science,Beginner,18.0,4.0,16.0,2024-05-04,Completed,2023-12-30,12.9,12.0,6.0,24.0,150.3,Assignment,89.13,60.24,65.19,1.0,14.0,62.715,2990.97,0.6666666666666666,154.8
April Knapp,42.0,Male,Ncr,Mobile,High School,Employed,Laptop,9.1,Career Change,1.0,Business Analytics,Business,Intermediate,9.0,4.0,12.0,,Dropped,2024-02-06,169.8,26.0,7.0,11.0,84.2,Assignment,95.27,42.9,65.445,2.0,14.666666666666666,54.1725,766.22,1.0,4414.8
Erin Campbell,34.0,Male,Region Vii,Limited,College,Unemployed,Laptop,6.8,Skill Upgrade,11.0,Mobile App Development,Science,Intermediate,10.0,10.0,14.0,,Dropped,2023-11-14,47.1,27.0,75.5,12.0,41.4,Quiz,95.05,46.58,40.02,4.0,38.166666666666664,43.3,281.52,1.0,1271.7
Brandi Obrien,50.0,Non-Binary,Region Xi,Limited,College,Employed,Desktop,7.1,Skill Upgrade,9.0,Ui/Ux Design Principles,IT,Beginner,15.0,6.0,14.0,,Completed,2023-11-20,99.9,12.0,5.0,14.0,90.2,Quiz,45.04,50.83,81.23,3.0,10.333333333333334,66.03,640.42,0.8,1198.8000000000002
Mary Frost,53.0,Female,Region Iv-A,Mobile,College,Employed,Tablet,4.9,Personal Interest,0.0,Data Science Fundamentals,Arts,Beginner,18.0,5.0,11.0,2024-03-12,Completed,2024-05-24,97.2,29.0,-24.5,25.0,102.4,Assignment,87.9,133.78125000000003,38.56,4.0,9.833333333333334,86.17062500000002,501.76000000000005,1.0,2818.8
Douglas Hawkins,36.0,Male,Region Xii,Limited,High School,Student,Desktop,11.7,Personal Interest,15.0,Business Analytics,Science,Intermediate,7.0,17.0,9.0,,Completed,2023-09-28,148.3,20.0,24.0,13.0,268.7875,Final Exam,65.33,64.89500000000001,71.69,2.0,19.0,68.2925,3144.8137500000003,1.0,2966.0
Dana Cox,37.0,Other,Ncr,Limited,Graduate,Employed,Laptop,10.9,Skill Upgrade,9.0,Cloud Computing Basics,IT,Advanced,14.0,17.0,18.0,,Ongoing,2023-11-04,107.1,5.0,47.0,-17.0,34.4,Final Exam,62.39,76.22,-1.7637499999999946,2.0,11.666666666666666,37.228125000000006,374.96,0.35714285714285715,535.5
Timothy Roberson,54.0,Female,Ncr,Mobile,College,Student,Laptop,15.3,Skill Upgrade,10.0,Business Analytics,Business,Intermediate,20.0,8.0,16.0,2022-03-08,Ongoing,2023-03-22,45.7,25.0,34.0,2.0,113.7,Final Exam,35.59,64.89500000000001,87.47,5.0,20.333333333333332,76.1825,1739.6100000000001,1.0,1142.5
Bob Vasquez,26.0,Female,Region Iv-A,Limited,High School,Employed,Laptop,3.8,Personal Interest,6.0,Ui/Ux Design Principles,IT,Beginner,26.0,19.0,4.0,2024-09-08,Completed,2023-10-15,94.9,24.0,36.0,18.0,52.3,Quiz,89.7,51.52,52.06,3.0,26.0,51.790000000000006,198.73999999999998,0.9230769230769231,2277.6000000000004
Amanda Mata,36.0,Male,Barmm,Limited,High School,Student,Mobile,-6.4,Career Change,9.0,Digital Marketing,Business,Intermediate,7.0,19.0,16.0,,Completed,2023-03-21,96.6,19.0,22.0,19.0,11.2,Assignment,98.28,88.91,55.67,4.0,20.0,72.28999999999999,-71.67999999999999,1.0,1835.3999999999999
Erik Bolton,40.0,Female,Region Vi,Limited,Graduate,Student,Laptop,7.6,Career Change,12.0,Machine Learning A-Z,IT,Advanced,6.0,19.0,19.0,2023-12-05,Completed,2024-05-13,120.5,11.0,18.0,2.0,-53.3,Assignment,-6.691250000000011,92.53,78.76,3.0,10.333333333333334,85.64500000000001,-405.08,1.0,1325.5
Karen Maldonado,35.0,Female,Ncr,Broadband,High School,Student,Mobile,13.7,Career Change,15.0,Python For Beginners,Business,Beginner,20.0,16.0,20.0,,Ongoing,2023-07-09,99.9,19.0,13.0,18.0,145.5,Assignment,48.21,94.22,73.87,1.0,16.666666666666668,84.045,1993.35,0.95,1898.1000000000001
Mark Miller,33.0,Female,Region Iv-A,Broadband,College,Employed,Laptop,19.3,Career Change,7.0,Ui/Ux Design Principles,Arts,Beginner,19.0,18.0,12.0,,Dropped,2022-09-03,138.8,27.0,46.0,1.0,171.0,Assignment,137.27875,44.39,75.63,5.0,24.666666666666668,60.01,3300.3,1.0,3747.6000000000004
Sierra Lopez,34.0,Female,Ncr,Broadband,High School,Student,Laptop,10.5,Career Change,11.0,Machine Learning A-Z,IT,Beginner,22.0,7.0,9.0,,Completed,2023-04-22,113.9,12.0,25.0,24.0,13.3,Assignment,78.26,49.05,41.17,2.0,20.333333333333332,45.11,139.65,0.5454545454545454,1366.8000000000002
Jeffery Eaton,55.0,Non-Binary,Region Xi,Mobile,High School,Student,Mobile,15.3,Personal Interest,0.0,Cloud Computing Basics,Arts,Beginner,28.0,11.0,22.0,2023-11-01,Completed,2024-10-12,144.9,1.0,44.0,6.0,26.9,Final Exam,33.61,56.78,78.13,3.0,17.0,67.455,411.57,0.03571428571428571,144.9
Lauren Martinez,76.0,Female,Ncr,Mobile,Graduate,Employed,Laptop,16.1,Personal Interest,4.0,Ui/Ux Design Principles,Business,Intermediate,22.0,3.0,19.0,2022-03-03,Ongoing,2023-05-14,172.4,16.0,29.0,14.0,94.9,Assignment,42.02,44.29,69.65,4.0,19.666666666666668,56.97,1527.8900000000003,0.7272727272727273,2758.4
April Deleon,25.0,Male,Region Xii,Broadband,College,Employed,Laptop,6.3,Career Change,15.0,Web Development Bootcamp,Math,Beginner,20.0,17.0,11.0,,Completed,2023-09-10,143.7,6.0,5.0,0.0,40.8,Quiz,82.87,81.28,81.13,3.0,3.6666666666666665,81.205,257.03999999999996,0.3,862.1999999999999
Jamie Casey,46.0,Female,Region X,Mobile,College,Student,Mobile,9.0,Skill Upgrade,3.0,Web Development Bootcamp,Arts,Intermediate,7.0,12.0,4.0,2022-02-10,Dropped,2024-01-06,69.6,5.0,36.0,10.0,101.3,Quiz,41.95,91.66,79.22,5.0,17.0,85.44,911.6999999999999,0.7142857142857143,348.0
Courtney Mueller,43.0,Female,Region Ii,Broadband,High School,Student,Desktop,29.45,Personal Interest,8.0,Business Analytics,IT,Advanced,28.0,20.0,22.0,2022-08-03,Ongoing,2022-09-25,261.9125,24.0,33.0,24.0,175.7,Final Exam,73.77,84.98,49.5,4.0,27.0,67.24000000000001,5174.365,0.8571428571428571,6285.900000000001
Allison Williams,23.0,Female,Region Iv-A,Broadband,College,Employed,Mobile,3.8,Skill Upgrade,2.0,Cybersecurity Essentials,IT,Advanced,20.0,7.0,15.0,2022-04-01,Completed,2024-05-07,13.5,13.0,18.0,12.0,110.9,Quiz,66.13,84.47,38.49,3.0,14.333333333333334,61.480000000000004,421.42,0.65,175.5
Martin Reid,25.0,Male,Region Ii,Limited,College,Employed,Mobile,16.8,,14.0,Mobile App Development,IT,Intermediate,5.0,13.0,6.0,,Completed,2024-03-06,18.6,27.0,37.0,21.0,83.9,Final Exam,88.45,35.77,91.77,5.0,28.333333333333332,63.769999999999996,1409.5200000000002,1.0,502.20000000000005
Amanda Hill,37.0,Female,Region Vi,Broadband,High School,Student,Mobile,13.1,Skill Upgrade,0.0,Cybersecurity Essentials,Business,Intermediate,12.0,12.0,14.0,,Ongoing,2023-07-14,83.4,2.0,35.0,28.0,12.7,Quiz,67.74,65.49,75.68,5.0,21.666666666666668,70.58500000000001,166.36999999999998,0.16666666666666666,166.8
Megan Wheeler,25.0,Female,Ncr,Mobile,Graduate,Employed,Desktop,17.9,Academic Requirement,10.0,Digital Marketing,Business,Intermediate,25.0,16.0,11.0,2023-12-05,Dropped,2022-06-28,26.1,5.0,21.0,3.0,169.5,Quiz,98.22,31.25,92.46,7.0,9.666666666666666,61.855,3034.0499999999997,0.2,130.5
Jessica Baker,32.0,Male,Ncr,Mobile,High School,Unemployed,Laptop,10.9,Career Change,2.0,Web Development Bootcamp,Business,Beginner,23.0,16.0,6.0,,Ongoing,2024-05-07,135.0,11.0,49.0,29.0,54.0,Quiz,97.95,42.44,60.79,3.0,29.666666666666668,51.614999999999995,588.6,0.4782608695652174,1485.0
Erin Griffin,21.0,Male,Region Xi,Limited,College,Employed,Mobile,19.7,Skill Upgrade,15.0,Business Analytics,Business,Intermediate,22.0,5.0,17.0,2022-01-12,Completed,2022-07-27,31.5,6.0,0.0,27.0,147.6,Quiz,84.82,89.91,35.36,4.0,11.0,62.635,2907.72,0.2727272727272727,189.0
Sarah Jennings,44.0,Female,Region Xii,Mobile,College,Unemployed,Desktop,16.8,Academic Requirement,1.0,Ui/Ux Design Principles,IT,Beginner,18.0,6.0,13.0,,Completed,2022-09-15,156.9,45.5,47.0,17.0,28.8,Quiz,60.3,81.68,54.98,3.0,36.5,68.33,483.84000000000003,1.0,7138.95
Beth Bailey,33.0,Non-Binary,Car,Mobile,Post Graduate,Student,Mobile,13.7,Skill Upgrade,6.0,Data Science Fundamentals,Arts,Beginner,19.0,16.0,11.0,2023-12-08,Ongoing,2023-01-02,99.8,26.0,1.0,12.0,141.6,Quiz,87.16,42.72,91.47,-1.0,13.0,67.095,1939.9199999999998,1.0,2594.7999999999997
Nicole Wells,17.0,Female,Ncr,Broadband,Graduate,Employed,Desktop,9.1,Skill Upgrade,15.0,Cloud Computing Basics,Science,Beginner,6.0,4.0,10.0,2024-03-07,Ongoing,2022-04-12,94.9,1.0,30.0,7.0,127.3,Final Exam,87.58,64.89500000000001,82.45,4.0,12.666666666666666,73.67250000000001,1158.4299999999998,0.16666666666666666,94.9
John Hester,38.0,Non-Binary,Region Viii,Mobile,College,Unemployed,Laptop,2.9,Career Change,14.0,Ui/Ux Design Principles,Science,Beginner,25.0,9.0,14.0,,Completed,2022-02-16,38.3,28.0,33.0,15.0,89.6,Final Exam,45.87,59.09,68.68,5.0,25.333333333333332,63.885000000000005,259.84,1.0,1072.3999999999999
Tanya Harris,28.0,Female,Region X,Broadband,College,Employed,Desktop,10.3,Skill Upgrade,15.0,Cybersecurity Essentials,IT,Intermediate,18.0,6.0,4.0,2023-11-08,Ongoing,2024-01-21,89.1,16.0,41.0,27.0,145.7,Assignment,97.48,87.7,32.66,5.0,28.0,60.18,1500.71,0.8888888888888888,1425.6
John Willis,45.0,Non-Binary,Region Iii,Mobile,College,Employed,Desktop,-8.55,Academic Requirement,3.0,Ui/Ux Design Principles,Science,Beginner,9.0,4.0,17.0,,Completed,2024-09-10,47.0,27.0,49.0,25.0,154.3,Final Exam,37.88,45.55,67.93,1.0,33.666666666666664,56.74,-1319.265,1.0,1269.0
Ashley Miller,22.0,Female,Region Xii,Mobile,High School,Employed,Laptop,1.9,Career Change,12.0,Ui/Ux Design Principles,IT,Beginner,22.0,12.0,11.0,2023-07-11,Ongoing,2022-07-05,65.4,29.0,31.0,24.0,93.4,Final Exam,85.11,38.56,68.63,1.0,28.0,53.595,177.46,1.0,1896.6000000000001
Jessica Shields,44.0,Female,Region Xii,Mobile,High School,Student,Tablet,8.1,Personal Interest,3.0,Business Analytics,IT,Intermediate,-8.5,17.0,14.0,,Dropped,2024-01-28,81.9,16.0,4.0,0.0,20.4,Quiz,55.32,82.83,99.64,4.0,6.666666666666667,91.235,165.23999999999998,0.0,1310.4
Jeffrey Chapman,47.0,Male,Region Iii,Mobile,College,Student,Desktop,-6.6,Skill Upgrade,10.0,Web Development Bootcamp,Science,Beginner,10.0,13.0,16.0,2024-04-04,Dropped,2023-01-16,151.8,15.0,16.0,14.0,74.1,Assignment,96.19,79.45,44.58,4.0,15.0,62.015,-489.05999999999995,1.0,2277.0
Jennifer Robinson,54.0,Female,Region Iv-A,Mobile,Graduate,Unemployed,Tablet,2.0,Academic Requirement,0.0,Cloud Computing Basics,Arts,Intermediate,23.0,8.0,14.0,,Dropped,2022-02-22,170.4,5.0,36.0,2.0,65.7,Assignment,96.61,52.0,81.65,1.0,14.333333333333334,66.825,131.4,0.21739130434782608,852.0
Randy Rodriguez,45.0,Female,Region Xi,Broadband,College,Employed,Mobile,12.1,Skill Upgrade,8.0,Web Development Bootcamp,Arts,Beginner,17.0,7.0,10.0,,Completed,2022-10-29,-28.1,15.0,41.0,13.0,174.7,Quiz,34.0,73.18,37.98,5.0,23.0,55.58,2113.87,0.8823529411764706,-421.5
Cynthia Smith,39.0,Male,Caraga,Broadband,Graduate,Student,Laptop,12.1,Skill Upgrade,0.0,Machine Learning A-Z,Math,Advanced,5.0,11.0,16.0,2022-08-06,Ongoing,2022-02-21,86.6,16.0,13.0,2.0,43.0,Quiz,92.17,95.9,43.88,4.0,10.333333333333334,69.89,520.3,1.0,1385.6
Matthew Beck,30.0,Female,Region Vii,Limited,College,Student,Desktop,9.2,Academic Requirement,0.0,Mobile App Development,IT,Beginner,17.0,13.0,9.0,,Ongoing,2023-03-25,48.2,6.0,31.0,27.0,162.1,Assignment,45.55,50.89,132.58625,4.0,21.333333333333332,91.738125,1491.32,0.35294117647058826,289.20000000000005
Jacob Wolf,26.0,Male,Region Vi,Broadband,College,Employed,Laptop,12.2,Skill Upgrade,7.0,Python For Beginners,Arts,Advanced,18.0,3.0,19.0,,Completed,2022-12-14,11.7,4.0,10.0,5.0,23.2,Assignment,91.75,32.28,65.445,2.0,6.333333333333333,48.8625,283.03999999999996,0.2222222222222222,46.8
Kirk Davis,28.0,Male,Ncr,Mobile,College,Employed,Mobile,1.8,Skill Upgrade,10.0,Python For Beginners,IT,Advanced,28.0,13.0,5.0,2024-09-04,Ongoing,2023-08-07,45.4,25.0,10.0,7.0,37.7,Quiz,65.33,69.5,99.99,2.0,14.0,84.745,67.86000000000001,0.8928571428571429,1135.0
Catherine Smith,33.0,Male,Ncr,Broadband,College,Employed,Laptop,12.4,Academic Requirement,4.0,Data Science Fundamentals,IT,Intermediate,20.0,5.0,13.0,,Completed,2024-02-26,141.7,3.0,28.0,25.0,32.5,Quiz,79.21,56.07,38.97,3.0,18.666666666666668,47.519999999999996,403.0,0.15,425.09999999999997
Kayla Martinez,48.0,Female,Region Vii,Broadband,High School,Student,Tablet,1.5,Career Change,14.0,Cybersecurity Essentials,IT,Beginner,23.0,20.0,14.0,2023-08-07,Completed,2022-08-05,127.5,16.0,6.0,23.0,27.1,Assignment,46.64,66.22,94.21,2.0,15.0,80.215,40.650000000000006,0.6956521739130435,2040.0
Alyssa Newman,39.0,Female,Ncr,Mobile,High School,Student,Desktop,11.4,Skill Upgrade,10.0,Cloud Computing Basics,IT,Advanced,10.0,3.0,21.0,,Completed,2024-02-22,43.7,8.0,37.0,17.0,26.2,Quiz,41.62,68.0,132.58625,3.0,20.666666666666668,100.293125,298.68,0.8,349.6
Stacey Bates,49.0,Female,Region Vi,Mobile,College,Employed,Tablet,9.3,Career Change,12.0,Python For Beginners,IT,Advanced,13.0,7.0,9.0,,Completed,2023-10-16,23.6,6.0,11.0,15.0,28.1,Final Exam,85.71,58.4,99.22,5.0,10.666666666666666,78.81,261.33000000000004,0.46153846153846156,141.60000000000002
Heather Patel,27.0,Male,Barmm,Mobile,College,Employed,Laptop,2.7,Skill Upgrade,0.0,Mobile App Development,Science,Beginner,18.0,29.5,14.0,2023-03-12,Completed,2024-01-10,41.5,10.0,1.0,19.0,135.3,Quiz,47.19,67.71,41.22,-1.0,10.0,54.464999999999996,365.31000000000006,0.5555555555555556,415.0
Willie Jackson,16.0,Female,Ncr,Limited,High School,Employed,Desktop,13.5,Skill Upgrade,12.0,Machine Learning A-Z,IT,Intermediate,18.0,15.0,20.0,2023-12-05,Ongoing,2023-10-29,39.5,3.0,27.0,27.0,28.9,Quiz,85.06,75.0,48.13,4.0,19.0,61.565,390.15,0.16666666666666666,118.5
Colleen Thomas,40.0,Female,Ncr,Broadband,College,Employed,Mobile,9.8,Personal Interest,11.0,Machine Learning A-Z,IT,Beginner,18.0,9.0,23.0,2022-03-04,Dropped,2022-05-23,155.9,18.0,5.0,15.0,106.0,Quiz,42.79,50.09,51.54,1.0,12.666666666666666,50.815,1038.8000000000002,1.0,2806.2000000000003
Kyle Wagner,38.0,Female,Region Xii,Mobile,Graduate,Employed,Tablet,5.9,Career Change,5.0,Business Analytics,IT,Advanced,16.0,15.0,8.0,,Dropped,2022-12-21,83.8,3.0,0.0,7.0,67.3,Assignment,81.93,36.4,46.41,3.0,3.3333333333333335,41.405,397.07,0.1875,251.39999999999998
Frederick Fletcher,30.0,Male,Region Vii,Limited,College,Student,Laptop,10.3,Personal Interest,3.0,Digital Marketing,Arts,Advanced,13.0,17.0,16.0,,Dropped,2024-05-01,80.4,22.0,48.0,17.0,163.2,Assignment,76.14,36.1,66.23,1.0,29.0,51.165000000000006,1680.96,1.0,1768.8000000000002
Jessica Haynes,26.0,Male,Ncr,Broadband,Graduate,Employed,Laptop,1.8,Academic Requirement,7.0,Cybersecurity Essentials,Science,Intermediate,29.0,4.0,5.0,,Dropped,2024-11-08,14.6,15.0,1.0,15.0,160.9,Quiz,42.81,58.72,93.79,1.0,10.333333333333334,76.255,289.62,0.5172413793103449,219.0
Beth Rogers,48.0,Female,Region Xi,Mobile,Graduate,Employed,Laptop,13.8,Career Change,12.0,Cybersecurity Essentials,Math,Intermediate,11.0,8.0,23.0,,Dropped,2022-02-19,63.5,11.0,42.0,18.0,150.8,Quiz,48.37,59.58,35.44,3.0,23.666666666666668,47.51,2081.0400000000004,1.0,698.5
Juan Thompson,19.0,Female,Region Viii,Mobile,Graduate,Student,Mobile,10.0,Academic Requirement,5.0,Cloud Computing Basics,Math,Beginner,26.0,20.0,19.0,2022-12-11,Dropped,2023-02-22,49.7,24.0,0.0,26.0,113.8,Final Exam,65.33,80.26,78.09,1.0,16.666666666666668,79.17500000000001,1138.0,0.9230769230769231,1192.8000000000002
Collin Simmons,35.0,Non-Binary,Region X,Mobile,High School,Student,Laptop,7.8,Personal Interest,7.0,Machine Learning A-Z,Math,Beginner,7.0,20.0,4.0,,Completed,2023-04-21,97.1,22.0,3.0,25.0,125.3,Assignment,80.73,63.0,30.39,3.0,16.666666666666668,46.695,977.3399999999999,1.0,2136.2
Rick Smith,49.0,Female,Region Viii,Mobile,High School,Employed,Laptop,17.2,Academic Requirement,4.0,Cloud Computing Basics,IT,Intermediate,5.0,17.0,7.0,,Dropped,2022-03-29,94.9,21.0,33.0,27.0,21.2,Quiz,67.01,59.02,90.91,3.0,27.0,74.965,364.64,1.0,1992.9
Miguel Kennedy,17.0,Male,Region Iv-A,Mobile,Graduate,Unemployed,Laptop,12.0,Academic Requirement,5.0,Digital Marketing,IT,Intermediate,7.0,12.0,22.0,,Completed,2024-08-25,32.5,17.0,1.0,3.0,118.1,Assignment,43.62,48.52,52.82,2.0,7.0,50.67,1417.1999999999998,1.0,552.5
Andrew Navarro,47.0,Male,Region Vii,Mobile,Graduate,Employed,Laptop,16.4,Career Change,9.0,Ui/Ux Design Principles,Business,Intermediate,18.0,5.0,8.0,,Completed,2023-01-10,55.3,27.0,75.5,12.0,86.3,Assignment,50.56,39.31,65.445,3.0,38.166666666666664,52.3775,1415.32,1.0,1493.1
George Ross,48.0,Other,Region Vi,Broadband,College,Student,Laptop,13.9,Personal Interest,8.0,Cloud Computing Basics,Arts,Beginner,8.0,17.0,11.0,,Dropped,2024-04-21,43.6,16.0,25.0,19.0,174.9,Final Exam,35.16,51.73,97.75,2.0,20.0,74.74,2431.11,1.0,697.6
Sean Gregory,27.0,Female,Region Vii,Mobile,College,Unemployed,Tablet,3.4,Personal Interest,2.0,Mobile App Development,Math,Intermediate,10.0,14.0,22.0,,Completed,2023-05-23,137.8,28.0,35.0,22.0,113.9,Quiz,60.37,47.29,33.42,3.0,28.333333333333332,40.355000000000004,387.26,1.0,3858.4000000000005
Donald Fuentes,28.0,Female,Region Vii,Broadband,Graduate,Student,Mobile,19.8,Career Change,0.0,Business Analytics,Business,Beginner,25.0,17.0,8.0,,Dropped,2023-04-10,158.0,19.0,19.0,6.0,107.7,Quiz,89.05,32.32,60.43,4.0,14.666666666666666,46.375,2132.46,0.76,3002.0
Jesse Rogers,24.0,Male,Region Xi,Mobile,Graduate,Student,Mobile,2.1,Skill Upgrade,7.0,Digital Marketing,Science,Intermediate,24.0,6.0,12.0,,Ongoing,2022-03-11,155.7,5.0,5.0,11.0,169.0,Assignment,58.63,60.14,63.62,3.0,7.0,61.879999999999995,354.90000000000003,0.20833333333333334,778.5
Michael Hernandez,35.0,Male,Region V,Mobile,College,Student,Mobile,13.5,Academic Requirement,10.0,Data Science Fundamentals,IT,Beginner,20.0,9.0,6.0,,Dropped,2022-06-26,139.5,2.0,21.0,23.0,-77.31250000000003,Quiz,66.09,62.17,81.22,3.0,15.333333333333334,71.695,-1043.7187500000005,0.1,279.0
Amanda Smith,35.5,Female,Region Iii,Broadband,High School,Employed,Mobile,19.2,Career Change,7.0,Data Science Fundamentals,IT,Advanced,20.0,5.0,23.0,,Completed,2024-01-02,128.2,6.0,37.0,8.0,42.7,Final Exam,86.98,64.89500000000001,54.24,1.0,17.0,59.56750000000001,819.84,0.3,769.1999999999999
Eugene Huynh,55.0,Female,Region Vii,Mobile,College,Student,Laptop,1.9,Personal Interest,0.0,Python For Beginners,Math,Intermediate,18.0,12.0,13.0,,Completed,2023-05-25,144.0,6.0,25.0,6.0,76.9,Final Exam,81.2,56.02,68.83,3.0,12.333333333333334,62.425,146.11,0.3333333333333333,864.0
James Stephenson,44.0,Male,Ncr,Broadband,College,Student,Tablet,14.3,Personal Interest,9.0,Mobile App Development,Business,Beginner,28.0,16.0,5.0,,Completed,2024-10-27,163.0,27.0,2.0,30.0,92.1,Final Exam,41.77,80.09,73.06,3.0,19.666666666666668,76.575,1317.03,0.9642857142857143,4401.0
Michael Smith,25.0,Female,Ncr,Mobile,College,Unemployed,Laptop,11.5,Skill Upgrade,5.0,Cybersecurity Essentials,IT,Intermediate,8.0,29.5,9.0,2023-05-10,Ongoing,2022-01-15,171.8,9.0,46.0,-17.0,100.4,Quiz,39.63,43.77,34.45,1.0,12.666666666666666,39.11,1154.6000000000001,1.0,1546.2
Roger Robbins,31.0,Female,Metro Manila,Limited,College,Employed,Mobile,17.6,Skill Upgrade,12.0,Ui/Ux Design Principles,Business,Beginner,9.0,5.0,14.0,2024-05-02,Ongoing,2024-05-07,164.2,2.0,3.0,1.0,50.6,Assignment,33.08,-3.8287500000000207,74.33,1.0,2.0,35.250624999999985,890.5600000000001,0.2222222222222222,328.4
Marisa Beltran,29.0,Male,Ncr,Mobile,High School,Employed,Laptop,13.1,Career Change,0.0,Ui/Ux Design Principles,IT,Advanced,11.0,17.0,22.0,,Completed,2023-01-18,17.1,18.0,8.0,14.0,148.5,Assignment,76.31,49.13,65.445,3.0,13.333333333333334,57.287499999999994,1945.35,1.0,307.8
Sarah Riddle,34.0,Male,Region Iii,Mobile,High School,Unemployed,Mobile,13.0,Academic Requirement,12.0,Ui/Ux Design Principles,Arts,Beginner,14.0,12.0,16.0,,Ongoing,2024-01-30,93.9,11.0,25.0,25.0,147.8,Assignment,65.33,30.73,74.82,3.0,20.333333333333332,52.775,1921.4,0.7857142857142857,1032.9
Timothy Phillips,20.0,Female,Ncr,Mobile,College,Student,Desktop,1.1,Personal Interest,2.0,Data Science Fundamentals,Business,Intermediate,6.0,17.0,15.0,2023-08-06,Completed,2023-05-18,62.3,2.0,16.0,11.0,125.6,Assignment,70.85,62.22,81.47,5.0,9.666666666666666,71.845,138.16,0.3333333333333333,124.6
Belinda Robinson,35.0,Female,Region Vi,Mobile,College,Employed,Laptop,17.8,Skill Upgrade,10.0,Digital Marketing,Business,Beginner,26.0,15.0,4.0,,Completed,2023-05-13,128.0,26.0,34.0,15.0,119.2,Quiz,31.79,64.22,89.52,5.0,25.0,76.87,2121.76,1.0,3328.0
Margaret Martin,24.0,Female,Region Xi,Broadband,High School,Student,Tablet,18.5,Skill Upgrade,5.0,Digital Marketing,Science,Advanced,23.0,11.0,19.0,,Ongoing,2023-11-24,17.9,16.0,6.0,0.0,114.9,Quiz,66.14,44.87,76.19,5.0,7.333333333333333,60.53,2125.65,0.6956521739130435,286.4
None,46.0,Female,Ncr,Mobile,College,Employed,Tablet,7.5,Career Change,14.0,Mobile App Development,IT,Advanced,24.0,20.0,14.0,,Completed,2023-03-14,41.3,21.0,9.0,15.0,89.4,Quiz,58.99,64.89500000000001,57.89,3.0,15.0,61.392500000000005,670.5,0.875,867.3
None,51.0,Female,Region Xi,Mobile,College,Employed,Laptop,4.2,Skill Upgrade,4.0,Data Science Fundamentals,IT,Beginner,25.0,12.0,8.0,2023-12-05,Completed,2024-06-08,139.0,14.0,8.0,15.0,167.4,Quiz,88.99,58.34,76.37,4.0,12.333333333333334,67.355,703.08,0.56,1946.0
Denise Walker,20.0,Female,Region Vii,Broadband,Graduate,Unemployed,Mobile,12.1,Skill Upgrade,15.0,Cloud Computing Basics,Science,Intermediate,24.0,11.0,20.0,2023-08-10,Completed,2023-08-01,146.1,27.0,27.0,4.0,47.8,Assignment,37.1,80.3,95.42,1.0,19.333333333333332,87.86,578.38,1.0,3944.7
Jennifer Baker,34.0,Female,Region Vii,Broadband,High School,Student,Tablet,2.4,Personal Interest,5.0,Cybersecurity Essentials,Math,Advanced,27.0,18.0,24.0,,Completed,2024-10-29,20.9,17.0,8.0,16.0,268.7875,Final Exam,98.08,64.89500000000001,78.83,2.0,13.666666666666666,71.86250000000001,645.09,0.6296296296296297,355.29999999999995
