student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating
Rachael Norman,20,male,Region I,Broadband,Highschool,Unemployed,Desktop,-5.7,Career Change,9,Machine Learning A-Z,Business,Beginner,18,20,7,21/04/2022,Completed,01/08/2023,137.7,13,6,14,-173.6,ASSIGNMENT,55.35,84.36,93.78,3
Alexander Blake,17,Male,NCR,limited,Graduate,Employed,Mobile,17.7,career change,13,Mobile App Development,IT,Intermediate,22,13,15,17/11/2023,Completed,09/04/2022,87.9,25,0,27,143.3,assignment,93.19,77.72,76.93,1
Richard Robinson,26,Female,Region IX,Limited,College,Employed,Tablet,7,Personal Interest,11,Web Development Bootcamp,Arts,Intermediate,28,16,8,01/05/2024,dropped,15/08/2022,76.1,29,1,0,119.7,Quiz,31.36,45.77,,5
Richard Vargas,53,Female,Region VI,Mobile,College,N/A,Desktop,4.9,Skill Upgrade,6,Machine Learning A-Z,Business,Beginner,20,19,12,24/06/2022,Ongoing,27/08/2024,99.9,4,5,21,129.9,exam,46.13,72.71,95.54,1
Preston Miller,,Female,Metro Manila,fiber,Undergraduate,Student,Mobile,10.3,Academic Requirement,13,Cloud Computing Basics,Arts,Inter,24,19,10,19/12/2022,Completed,05/11/2024,1876.8,17,45,10,93.4,,69.32,47.88,37.8,3
Robert Cook,55,Male,Region V,broadband,College,Unemployed,Laptop,4.1,Career Change,375,Cloud Computing Basics,,beginner,12,6,19,06/03/2023,Completed,02/05/2022,135.6,6,40,7,166.7,Quiz,58.6,-41.36,91.5,5
Dwayne Hill,42,Female,Region IV-A,Mobile,High School,Student,Laptop,,Career Change,13,Cloud Computing Basics,IT,Beginner,9,17,16,23/11/2023,Completed,07/03/2024,107.8,23,46,20,27.8,Final Exam,56.39,98.52,,2
Holly Reeves,49,M,N/A,mobile,College,Employed,Laptop,13.7,Skill Upgrade,14,Business Analytics,Science,Beginner,26,4,12,20/09/2023,ongoing,09/08/2022,71.3,9,16,10,58.2,Assignment,78.56,2428.02,81.75,2
Stephen Stone,50,Female,Region XI,Broadband,College,Student,Tablet,12.6,Skill Upgrade,7,Digital Marketing,Math,Intermediate,9,6,17,19/10/2024,Ongoing,25/03/2023,92.9,5,28,11,35.8,Quiz,99.69,,44.25,2
Grant Joyce,46,Male,ncr,Broadband,High School,Student,Desktop,-6.7,Personal Interest,11,Digital Marketing,IT,intermediate,6,10,23,29/09/2024,Completed,09/04/2023,37.1,17,33,20,70.6,Quiz,97.85,-41.14,72.25,3
Carla Salas,49,male,Region VI,BROADBAND,graduate,Unemployed,Desktop,19.5,Academic Requirement,3,Mobile App Development,Math,Intermediate,10,18,21,04/10/2022,Completed,23/04/2024,44.1,24,20,25,41.9,Assignment,79.86,61.14,48.93,5
Nicole Richardson,25,Male,CAR,broadband,Post Graduate,Student,Mobile,12.6,Earn a certificate,14,Machine Learning A-Z,IT,Beginner,9,,20,16/10/2024,Completed,19/09/2023,95.5,,31,4,163.8,Final Exam,86.78,60.22,35.47,1
Crystal Flores,27,Male,Region XI,Broadband,college,employed,Laptop,,Personal Interest,2,Cloud Computing Basics,Business,Beginner,7,17,22,22/05/2024,Completed,07/08/2022,18.2,10,48,14,29.9,Quiz,36.81,89.05,,2
Andrew Oneal,38,Female,Region VII,Limited,N/A,Unemployed,mobile,5.5,Personal Interest,2,Cloud Computing Basics,Business,Intermediate,21,15,5,08/08/2022,Completed,22/11/2022,42.9,5,7,19,168.8,Quiz,96.85,33.69,,1
Brittany Medina,51,Male,Region II,Broadband,College,Student,Tablet,4,Personal Interest,10,Business Analytics,Arts,Intermediate,12,16,13,20/04/2022,Dropped,07/04/2023,137.1,10,13,8,86.8,Quiz,41.72,-63.73,51.29,1
Stephanie Rivera,37,,NCR,Broadband,COLLEGE,Freelancer,Mobile,14.1,Personal Interest,8,Web Development Bootcamp,Science,Intermediate,24,4,11,26/03/2024,completed,23/01/2023,137.6,16,-14,702,74.6,Final Exam,72.21,36.43,74.74,3
Sharon Stevens,21,Prefer not to say,Region VIII,Broadband,College,unemployed,Desktop,12.6,CAREER CHANGE,13,Python for Beginners,Arts,Advanced,12,14,20,05/04/2023,Dropped,23/06/2023,86.2,15,49,15,69.4,Quiz,74.24,34.05,51.23,2
Rebekah White,32,male,Metro Manila,limited,Graduate,Employed,Mobile,16.3,Personal Interest,13,Digital Marketing,IT,Inter,15,19,,07/04/2024,Ongoing,20/06/2023,28.3,20,43,5,-80.2,exam,74.98,40.8,45.15,1
Matthew Bradshaw,55,Female,ncr,mobile,high school,Employed,Mobile,7,Academic Requirement,15,Python for Beginners,Science,Beginner,-10,10,11,11/02/2022,Dropped,14/04/2024,174.1,16,36,21,121.8,Assignment,52.97,57.13,45.55,5
Daniel Duncan,21,Male,Metro Manila,Mobile,Highschool,Employed,MOBILE,10.2,Career Change,8,Digital Marketing,Math,Beginner,22,10,24,02/05/2024,Completed,05/07/2024,38.8,450,1,20,120.8,Assignment,33.61,2306.58,39.26,4
Ronald White,40,female,,Broadband,,Employed,Desktop,1.8,Career Change,,Web Development Bootcamp,N/A,Beginner,9,8,21,27/03/2022,Completed - No Certificate,15/03/2022,-174.3,30,4,18,55.7,Quiz,84.8,60.55,1521.12,3
Briana Miller,43,Male,Region VI,Mobile,HS,Student,Laptop,3.1,none,4,Mobile App Development,Business,Intermediate,25,16,7,,Completed,01/11/2023,61.2,13,2,22,135.6,Quiz,89.11,85.49,88.37,495
Patrick Carter,55,Female,NCR,Mobile,College,Student,Laptop,13.4,Skill Upgrade,7,Web Development Bootcamp,Business,Beginner,26,13,18,13/09/2022,Completed,,12.8,7,40,7,99.1,exam,85.01,51.51,42.45,
Spencer Nelson,18,Female,Region X,Broadband,College,Student,tablet,12,Personal Interest,14,Machine Learning A-Z,IT,Advanced,510,16,13,24/05/2022,completed,27/03/2022,131.5,14,38,8,174.9,Quiz,81.3,54.09,96.26,4
Courtney Kaiser,45,M,Region VII,broadband,College,Unemployed,Desktop,15.6,,5,Machine Learning A-Z,Science,Intermediate,13,20,8,17/09/2023,none,17/08/2023,127.1,9,12,0,36.4,Assignment,46.36,82.98,69.44,2
James Guerra,29,Female,Region XI,Broadband,COLLEGE,Employed,Laptop,7.6,Skill Upgrade,4,Cloud Computing Basics,Math,ADVANCED,29,14,15,01/11/2022,Completed,02/01/2022,49.6,21,50,28,87.7,Quiz,94,-38.06,82.41,4
Laura Johnson,31,Male,Region VI,Mobile,High School,Employed,Desktop,9.8,Personal Interest,,Data Science Fundamentals,Science,Beginner,24,,18,08/10/2022,Dropped,,169.6,-3,41,8,12.6,Assignment,45.77,77.41,69.61,4
none,49,Male,N/A,Mobile,College,Employed,Laptop,15,Career Change,2,Data Science Fundamentals,Programming,Beginner,19,19,19,20/07/2023,Completed,03/06/2024,59.6,1,42,8,161.1,Quiz,65.43,93.36,82.22,3
Aaron Schwartz,54,Female,ncr,Mobile,College,Unemployed,Laptop,13.5,Academic Requirement,9,UI/UX Design Principles,IT,Advanced,23,8,14,27/07/2024,Ongoing,01/01/2023,145.6,23,46,8,13.6,quiz,71.41,37.67,63.13,3
Alicia Kramer,18,Female,Region V,mobile,Graduate,Employed,Laptop,18.7,Personal Interest,5,Cybersecurity Essentials,Business,Advanced,15,285,24,11/12/2023,Completed,17/11/2023,41.2,13,29,15,47.1,Assignment,41.07,80.36,32.24,1
Mark Martin,38,Female,Region I,Mobile,College,Unemployed,Laptop,8.8,Academic Requirement,5,Data Science Fundamentals,Business,Intermediate,23,10,21,26/07/2024,Completed,25/10/2023,160.3,29,32,2,165.4,Assignment,67.7,99.6,41.13,2
Matthew Whitehead,28,Female,NCR,N/A,High School,Student,mobile,12.4,Academic Requirement,13,Digital Marketing,Math,Intermediate,9,18,7,24/03/2024,Completed,07/04/2022,84.7,,24,18,168.6,exam,68.26,81.68,69.58,1
Kristy King,22,Male,NCR,Broadband,College,Freelancer,mobile,14.4,Career Change,5,Web Development Bootcamp,IT,Advanced,6,3,17,18/04/2023,Completed - No Certificate,08/09/2022,157.4,22,22,6,20.5,Quiz,85.97,60.64,50.37,3
Chelsea Sandoval,,Female,Region I,Broadband,,Employed,desktop,15.5,Earn a certificate,15,Business Analytics,IT,beginner,14,14,20,02/04/2024,Completed - No Certificate,25/12/2022,47.7,29,27,10,70,Assignment,990.59,43.08,53.56,4
Nancy Austin,52,Female,NCR,Limited,College,Working professional,Mobile,9.1,Personal Interest,13,Cybersecurity Essentials,IT,Intermediate,29,18,7,16/06/2023,ongoing,,137.9,19,18,6,143.9,Quiz,2854.78,,65.96,2
Robert Rubio,29,M,Region X,broadband,High School,Unemployed,Mobile,11.8,Academic Requirement,7,Data Science Fundamentals,Math,Advanced,20,7,,10/12/2024,Dropped,12/01/2024,136.6,2,27,21,137.4,Quiz,51.43,53.37,73.03,1
Edwin Taylor,37,Male,Region III,Limited,College,Student,Laptop,2.6,Personal Interest,9,Data Science Fundamentals,Business,Intermediate,9,18,17,07/12/2023,Completed,04/10/2024,72.9,17,20,28,141.6,Quiz,71.73,62.82,47.63,4
Ronald Brown,28,Male,Region IX,Broadband,High School,Student,Laptop,,Personal Interest,9,Machine Learning A-Z,it,Intermediate,19,12,13,08/10/2023,Completed,19/10/2022,154,16,35,3,162,Final Exam,68.03,62.98,92.99,2
Karen Murphy,35,Female,Region XI,Mobile,Graduate,Working professional,laptop,8.9,Academic Requirement,13,Cybersecurity Essentials,Arts,Intermediate,30,18,6,27/06/2022,Completed - No Certificate,04/05/2023,98.2,29,15,26,82.1,Quiz,72.76,98.2,59.51,4
Carla Bell,42,Non-binary,NCR,Broadband,Graduate,Student,Laptop,19.6,personal interest,15,Business Analytics,IT,Beginner,28,20,22,07/09/2022,n/a,18/08/2022,1954.7,7,,23,135.3,Assignment,81.52,91.79,81.09,1
,41,Female,Region II,Broadband,High School,Unemployed,Laptop,10,Personal Interest,14,Cloud Computing Basics,Business,Intermediate,21,18,15,04/09/2024,Dropped,27/06/2022,173.5,-14,2262,18,169.8,quiz,80.24,36.75,75.45,2
Douglas Hernandez,49,Female,Region III,Broadband,Graduate,EMPLOYED,Tablet,11.9,Career Change,0,Machine Learning A-Z,Business,Beginner,25,4,8,17/07/2022,Completed,22/03/2022,179.6,4,14,5,58,Assignment,33.71,74.13,-90.4,1
John Rivera,52,Other,Region X,Limited,High School,Employed,,7,Personal Interest,14,Web Development Bootcamp,Information Technology,mid,23,18,7,06/02/2023,completed,20/10/2023,21.6,8,7,6,165.7,final exam,91.56,88.45,71.02,2
Jerry Crawford,,,Region XI,Limited,High School,Employed,Mobile,,Skill Upgrade,8,Digital Marketing,IT,Beginner,17,8,19,22/03/2023,Dropped,02/11/2022,59.7,4,36,27,-37.6,Assignment,84.86,89.75,81.36,2
Toni Lewis,,Male,Region III,Mobile,Graduate,Employed,Desktop,15.6,Skill Upgrade,2,UI/UX Design Principles,IT,ADVANCED,20,16,11,04/05/2022,In-progress,17/07/2023,148.8,14,40,19,39.2,Assignment,63.9,52.15,93.12,5
Danielle Bishop,29,Female,Region II,WiFi,College,Employed,Mobile,13.8,Career Change,5,Mobile App Development,Math,Beginner,27,5,,29/09/2024,Completed,18/09/2022,84.6,25,17,5,178.4,Quiz,30.01,45.36,65.05,4
Pamela Martin,37,Female,Region VIII,mobile,High School,EMPLOYED,N/A,17.3,career change,9,Cloud Computing Basics,Arts,advanced,13,9,4,17/10/2022,Ongoing,04/04/2024,14.4,16,47,17,156,ASSIGNMENT,78.56,,40.03,4
James Moore,23,Male,Region VII,Broadband,College,Employed,Mobile,5.9,Personal Interest,12,Cybersecurity Essentials,Information Technology,Intermediate,28,11,14,27/06/2024,Dropped,05/11/2022,82.1,26,31,0,104.4,Assignment,34.16,34.26,52.13,5
Ann Washington,45,Female,Region X,mobile,College,employed,Desktop,12.5,Earn a certificate,7,Mobile App Development,,Beginner,12,9,17,07/03/2023,Dropped,05/12/2024,100,4,13,23,101.5,Assignment,54.4,,86.58,5
Frank Johnson,30,Female,NCR,Mobile,Graduate,student,Desktop,1.5,Skill Upgrade,,Cybersecurity Essentials,Business,Intermediate,10,14,16,12/11/2022,completed,07/06/2024,1525,15,28,17,173.5,Quiz,79.09,5854.23,33.18,4
Jane Richard,52,Male,Region VII,Mobile,College,Student,tablet,652.8,Skill Upgrade,8,Data Science Fundamentals,IT,BEGINNER,12,11,19,08/03/2024,Ongoing,15/07/2023,28.9,14,5,18,78,Assignment,42.77,89.39,54.38,4
Hannah Ryan,16,MALE,N/A,limited,graduate,Employed,Laptop,10.7,Personal Interest,,Mobile App Development,Math,Advanced,18,8,12,04/10/2023,Dropped,13/05/2022,114.8,25,14,19,56.4,Assignment,46.44,50.56,2702.46,5
Alison Rodriguez,25,Prefer not to say,Region IV-A,Broadband,College,Freelancer,desktop,2.6,Skill Upgrade,7,Python for Beginners,IT,Intermediate,5,14,19,21/08/2024,COMPLETED,13/06/2024,51.4,2,6,7,74.1,Quiz,38.19,-92.36,83.32,4
Catherine Johnson,41,,,mobile,college,Student,Laptop,8,Skill Upgrade,7,Web Development Bootcamp,IT,Intermediate,13,16,10,16/07/2022,Ongoing,26/09/2023,24.3,25,23,29,105.9,Quiz,-46.69,60.38,93.85,3
Stephanie Miranda,54,Male,NCR,Broadband,College,Employed,Mobile,-13.4,Career Change,15,Cloud Computing Basics,business,Beginner,7,9,16,15/04/2023,Completed,22/05/2022,32.5,26,38,28,32.9,Quiz,30.52,1922.76,35.23,3
Janice Garcia,28,FEMALE,NCR,Mobile,college,Employed,Mobile,6,Personal Interest,13,Mobile App Development,Math,Beginner,22,11,23,26/05/2024,Dropped,29/07/2024,141,21,3,11,87.8,Quiz,53.54,45.75,,3
Brittany Johnson,35,Female,ncr,Mobile,College,Student,Mobile,3.6,,7,Python for Beginners,Science,Intermediate,25,15,5,,Dropped,12/02/2022,154.9,23,21,28,150.4,QUIZ,97.72,94.87,48.66,5
Joseph Garcia,36,Male,Region II,N/A,N/A,Unemployed,phone,18.6,Career Change,,Digital Marketing,Science,,13,12,24,15/06/2022,completed,11/04/2022,120.2,5,28,20,28.5,Quiz,30.52,67.61,48.42,2
Steven Wyatt,29,Male,Region XII,Mobile,GRADUATE,Student,Desktop,9.4,Personal Interest,13,Cloud Computing Basics,Science,Intermediate,29,13,280,18/12/2023,In-progress,17/03/2023,65.7,28,5,8,102.4,Assignment,61.78,74.5,61.79,3
Jennifer Palmer,34,female,ncr,Mobile,College,Student - full time,N/A,17,Career Change,9,Machine Learning A-Z,IT,Advanced,26,11,372,15/01/2024,Completed,21/03/2024,101.2,28,42,24,126.4,Assignment,59.79,73.45,71.97,2
James Gonzalez,30,MALE,NCR,Broadband,College,Student,Laptop,9.2,Skill Upgrade,3,Machine Learning A-Z,IT,Intermediate,17,20,16,18/11/2023,Completed,06/02/2024,44.1,3,4,6,29.3,Assignment,92.77,65.47,50.8,5
Raymond Levine,27,Non-binary,Metro Manila,wifi,High School,Unemployed,N/A,8.2,Personal Interest,5,UI/UX Design Principles,Arts,Advanced,15,19,12,04/09/2022,In-progress,06/10/2023,125.7,17,28,27,113.7,quiz,59.39,54.3,63.96,1
Christina Nichols,34,Female,NCR,Mobile,Graduate,Student,Tablet,7,Career Change,4,UI/UX Design Principles,IT,Advanced,18,20,6,28/06/2022,Completed,19/02/2024,164.7,11,15,30,40.5,Assignment,56.68,60.48,56.57,1
Timothy Cox,46,female,Region VII,Mobile,COLLEGE,employed,Mobile,-4.8,Personal Interest,,Python for Beginners,Arts,Beginner,23,6,13,28/07/2022,Dropped,22/07/2022,155.7,11,12,27,103.3,Assignment,42.24,80.85,66.22,2
John Webb,40,Female,Region III,Mobile,College,Working professional,Mobile,19.6,Career Change,1,Python for Beginners,Business,INTERMEDIATE,17,,4,13/02/2024,Completed,03/01/2024,31.1,2,32,-6,40.1,Assignment,46.74,86.54,41.64,2
Blake Sims,19,Male,NCR,broadband,College,Student,Laptop,12.1,Skill Upgrade,11,Web Development Bootcamp,IT,Intermediate,29,14,10,06/12/2023,Ongoing,16/08/2024,140.7,4,42,19,60.3,quiz,735.67,72.7,62.09,1
Melanie Hill,31,Female,Region XI,Mobile,High School,student,Tablet,17.2,Personal Interest,11,Python for Beginners,business,Inter,10,12,9,28/03/2022,Ongoing,11/01/2023,98.5,28,39,20,167,Final Exam,69.57,34.47,90.7,5
Matthew Rodriguez,41,Male,Region VII,Limited,N/A,Unemployed,desktop,17.9,Personal Interest,6,Machine Learning A-Z,Arts,Intermediate,18,17,6,10/06/2022,completed,27/05/2022,119.5,17,50,24,-54.5,Assignment,81.6,85.49,84.29,4
Amanda Bell,30,female,Region VII,Limited,graduate,Student,Laptop,3.9,Skill Upgrade,1,Cybersecurity Essentials,Business,advanced,12,13,6,30/09/2024,Dropped,17/02/2024,154.5,14,46,18,134.9,test,47.9,55.06,59.07,
Katherine Peters,29,Male,Region VII,Mobile,HIGH SCHOOL,Student,Laptop,12.1,Career Change,5,Machine Learning A-Z,Math,Advanced,12,7,12,17/09/2022,Dropped,18/04/2023,80.1,5,16,29,,Assignment,38.72,64.19,64.56,1
Norma Mclaughlin,38,Male,Region VII,Mobile,College,Unemployed,Laptop,4.5,CAREER CHANGE,12,UI/UX Design Principles,Business,Intermediate,24,9,16,21/01/2023,Dropped,29/06/2024,87.3,23,22,10,174.4,exam,62.85,41.31,91.56,3
Brian Hernandez,53,Non-binary,Region X,fiber,Graduate,Unemployed,Desktop,10.7,Academic Requirement,,Cloud Computing Basics,Science,Intermediate,23,9,7,10/09/2022,completed,18/08/2023,149.1,9,11,21,,Quiz,50.24,37.92,52.88,2
Bridget Lee,29,male,NCR,Mobile,Graduate,N/A,Tablet,12.5,Personal Interest,13,Cloud Computing Basics,Science,Advanced,28,5,9,02/05/2022,COMPLETED,09/04/2024,-154.2,23,29,19,134.8,Assignment,-82.43,53.79,,2
Erin Sandoval,45,Female,NCR,Limited,high school,Unemployed,Tablet,15.5,Academic Requirement,14,UI/UX Design Principles,Arts,Intermediate,11,8,12,14/11/2023,Completed,12/12/2022,157.9,378,41,0,162.2,Quiz,,70.2,81.02,5
Nichole King,35,Female,NCR,Broadband,,Student,Tablet,7.6,CAREER CHANGE,7,Digital Marketing,it,Intermediate,27,15,17,10/01/2023,Dropped,13/09/2023,64.4,8,47,9,111.9,Quiz,89.31,31.83,61.75,3
Ethan Miller,52,Other,Region XII,Broadband,Graduate,STUDENT,Laptop,15.3,Personal Interest,,Data Science Fundamentals,Math,beginner,22,7,16,16/06/2023,,22/03/2022,93,20,29,0,124.6,Quiz,88.17,-73.59,53.91,1
Joshua Torres,38,Female,Region III,mobile,Graduate,Student,Desktop,8.4,career change,7,Digital Marketing,Business,Advanced,19,14,6,14/03/2022,Dropped,17/04/2023,14.2,28,24,25,85.7,Quiz,43.36,34.9,36.4,2
Fernando Lopez,35,Female,Region I,Broadband,College,Student,Laptop,6.8,Academic Requirement,0,Business Analytics,Information Technology,Advanced,8,14,24,16/02/2024,Completed,01/03/2023,81.2,7,47,10,97.6,Quiz,39.74,45.14,76.2,5
Donna Gibson,32,Female,Region XI,Broadband,College,Employed,Tablet,5.6,Skill Upgrade,5,Mobile App Development,Arts,Beginner,26,3,13,06/02/2023,Completed - No Certificate,06/06/2022,17,15,0,14,12.5,Quiz,,43.27,38.05,1
Sarah Khan,54,Male,CAR,Broadband,College,Student,Desktop,18.7,Skill Upgrade,12,Business Analytics,Information Technology,Intermediate,14,18,24,12/09/2024,Dropped,07/09/2024,76.3,30,38,22,161.7,Quiz,44.43,73.05,86.17,2
none,42,male,NCR,mobile,Graduate,Employed,Mobile,6.6,Academic Requirement,3,UI/UX Design Principles,IT,Intermediate,28,16,17,04/03/2023,Ongoing,31/10/2023,,14,11,16,63.3,Assignment,84.51,69.59,34.9,5
Angela Roberts,37,Female,Region III,mobile,High School,Unemployed,Desktop,7.4,Personal Interest,0,Cybersecurity Essentials,Business,basic,28,5,5,,dropped,12/10/2022,158.5,12,21,26,126.8,Quiz,,40.67,85.26,5
Michael Choi,55,Male,NCR,MOBILE,High School,Employed,mobile,15.5,Personal Interest,15,Cybersecurity Essentials,Arts,intermediate,19,17,18,15/06/2024,Completed,19/05/2023,117.9,6,49,27,152.1,Assignment,47.9,65.63,,4
Walter Perkins,20,Prefer not to say,BARMM,Limited,high school,Employed,Tablet,12.7,Personal Interest,14,Web Development Bootcamp,Math,Advanced,7,3,20,24/03/2023,Dropped,22/06/2022,103.5,3,40,13,43.2,Quiz,99.91,49.57,33.7,2
Jack Ward,53,MALE,Metro Manila,broadband,High School,Student,MOBILE,10.9,skill upgrade,8,Data Science Fundamentals,Science,Beginner,26,9,17,14/07/2023,Ongoing,13/12/2024,176.9,29,27,7,,test,52.41,,63.31,2
Michelle Haynes,33,Female,NCR,Broadband,Graduate,Student,Desktop,7.6,Skill Upgrade,10,Data Science Fundamentals,IT,Intermediate,14,11,17,17/07/2023,Completed,25/01/2023,3625.6,800,38,30,141.3,assignment,90.34,88.73,66.8,1
Linda Fuentes,28,Female,Region VII,Broadband,high school,,Tablet,19.5,Academic Requirement,0,Business Analytics,IT,Advanced,8,10,11,28/03/2024,Dropped,20/03/2024,87,19,33,17,158,final exam,85.33,68.17,43.91,2
Breanna Ho,18,Male,NCR,broadband,Undergraduate,Freelancer,LAPTOP,5.9,Career Change,0,Cloud Computing Basics,IT,Beginner,11,5,20,09/07/2022,Dropped,,139.2,19,40,4,105.6,Final Exam,95.24,83.25,71.35,5
Howard Thompson,19,Non-binary,Region XI,Mobile,college,Student,Laptop,13,Personal Interest,12,Data Science Fundamentals,Arts,Beginner,17,6,16,03/07/2023,Dropped,05/10/2022,175.6,17,33,16,160.5,Final Exam,57.25,39.78,47.81,3
Melissa Fitzgerald,35,Female,Region VII,Mobile,College,N/A,Tablet,8.8,Personal Interest,,Mobile App Development,IT,Intermediate,5,11,13,04/09/2024,Completed,01/02/2023,1973.7,23,27,16,51.3,Quiz,78.83,85.07,88.96,3
Andrew Gomez,35,,ncr,Broadband,graduate,Employed,Mobile,16.7,Personal Interest,10,UI/UX Design Principles,Science,advanced,13,16,16,14/07/2022,none,18/08/2022,149.8,30,6,,67.4,Final Exam,43.42,59.59,86.58,4
Jaclyn Martin,24,Female,NCR,Broadband,High School,Working professional,LAPTOP,18.4,Skill Upgrade,6,Mobile App Development,it,Advanced,25,4,17,01/06/2024,dropped,23/11/2024,,9,9,19,153,Quiz,39.15,,79.84,5
none,16,Male,Region VII,Limited,College,Employed,Tablet,6.9,skill upgrade,0,Business Analytics,IT,Intermediate,18,3,15,,Completed - No Certificate,06/04/2022,113.8,30,38,8,77.1,,71.64,37.8,83.79,3
Eddie Hernandez,24,Female,NCR,Broadband,graduate,Student,Laptop,19.1,Personal Interest,2,Digital Marketing,Business,Beginner,24,12,9,23/07/2022,Completed,04/08/2024,-102.5,21,44,10,145.1,Assignment,,67.33,53.65,3
Jennifer Luna,50,N/A,Region XII,wifi,COLLEGE,Unemployed,Desktop,13.5,Personal Interest,11,Data Science Fundamentals,Business,Advanced,8,9,5,25/07/2023,Completed,04/09/2023,13.7,27,42,27,103.9,Quiz,68.21,35.26,31.17,3
Jennifer Palmer,28,Female,N/A,WiFi,College,Student,Laptop,13.6,Skill Upgrade,658,Mobile App Development,IT,Intermediate,14,12,24,25/05/2023,Completed,09/05/2022,,30,18,12,27.3,exam,5359.9,,73.43,5
Mallory Frazier,48,Female,Region IV-A,Broadband,College,Student,Desktop,1.4,Career Change,2,Cybersecurity Essentials,Cybersecurity,Intermediate,17,8,16,27/04/2022,In-progress,10/03/2022,14.4,30,44,,19.3,Assignment,35.16,89,,3
Daniel Wells,43,Male,NCR,Mobile,High School,Employed,Laptop,11.3,Academic Requirement,6,Python for Beginners,Business,Beginner,,10,16,01/03/2022,dropped,23/07/2024,124.2,29,33,6,33.9,Assignment,94.16,63.31,95.49,5
Erika Martin,34,Male,Region IV-A,broadband,Graduate,student,Desktop,19.5,Personal Interest,14,Business Analytics,Science,Intermediate,21,17,16,21/01/2024,In-progress,03/01/2023,86.2,13,8,19,172,Assignment,40.11,64.34,-52.84,4
Kenneth Perez,20,MALE,,Limited,college,Unemployed,Desktop,6.7,,6,Data Science Fundamentals,IT,Beginner,7,17,9,06/05/2024,Dropped,01/11/2024,123.9,23,46,,,Assignment,62.95,58.24,34.88,4
Nicole Lane,36,Female,Region VII,Mobile,High School,Student,Laptop,18,Skill Upgrade,4,Cloud Computing Basics,business,Intermediate,-24,16,17,10/08/2022,Completed,13/06/2024,147.3,4,49,18,,final exam,53.43,41.55,35.45,4
Lisa Mcdonald,54,male,Region VI,Broadband,College,Employed,Mobile,8.2,Career Change,5,Digital Marketing,Cybersecurity,Beginner,7,5,5,24/07/2023,Completed,07/03/2022,175.8,22,21,21,59.3,Quiz,69.23,72.45,99.6,1
David Carter,40,Other,Region VII,mobile,Graduate,Employed,Laptop,12.2,Academic Requirement,8,Cloud Computing Basics,N/A,Intermediate,11,17,20,17/11/2023,Ongoing,08/08/2022,1181.6,9,25,16,105.9,exam,1954.44,,50.78,1
Theresa Hicks,43,Other,Region XI,Limited,Graduate,Unemployed,Tablet,11.5,Skill Upgrade,8,Machine Learning A-Z,Business,Beginner,9,11,5,20/12/2022,Ongoing,19/05/2023,150.6,3,9,5,22.6,Quiz,75.18,35.48,49.52,1
Connor Bell,30,Male,Region IX,Limited,College,Unemployed,Desktop,8.1,Earn a certificate,1,Web Development Bootcamp,Cybersecurity,Intermediate,5,12,18,11/08/2023,Dropped,15/08/2024,159.7,9,14,1,178.2,Quiz,68.13,54.78,61.26,4
David Jones,37,Male,Region X,Broadband,HS,Employed,N/A,7.5,Personal Interest,4,Cybersecurity Essentials,IT,Beginner,26,5,15,24/10/2024,Completed,11/12/2022,13.6,9,49,,80.1,Assignment,64.88,77.23,75.64,3
Tina Harris,35,male,Region XI,broadband,Graduate,Employed,Mobile,3,Personal Interest,13,Digital Marketing,Business,Beginner,-26,12,13,29/05/2024,Ongoing,27/07/2023,99.8,7,0,0,68.9,Assignment,79.84,43.33,86.2,2
Rebekah Freeman,40,Male,Region VIII,Mobile,College,Employed,Tablet,15.8,Academic Requirement,0,Machine Learning A-Z,Science,basic,29,12,-19,03/10/2023,Ongoing,06/01/2022,126.2,27,40,7,179.2,Assignment,40.05,85.17,92.28,5
Ronald Fox,432,Male,NCR,Mobile,College,Employed,Mobile,1292,Skill Upgrade,11,Python for Beginners,Arts,Advanced,1344,15,18,01/02/2022,Dropped,20/08/2024,40.8,27,36,3,163.8,Quiz,85.34,34.08,67.16,3
Kenneth Barajas,27,Male,NCR,Broadband,High School,Employed,Laptop,2,Skill Upgrade,0,Cybersecurity Essentials,IT,basic,19,4,15,18/07/2023,dropped,25/05/2024,53.7,24,19,13,77.4,assignment,81.24,72.98,49.46,
Kathy Lyons,16,Male,Region VII,fiber,College,Employed,Mobile,9.5,Career change or promotion,,Digital Marketing,Business,Intermediate,30,8,21,03/04/2023,,03/12/2022,34,24,1113,8,93.9,Final Exam,99.95,,,3
Phillip Ramos,40,Other,Region VII,Limited,Graduate,Freelancer,Laptop,12.8,Skill Upgrade,9,Mobile App Development,IT,Intermediate,6,15,11,18/10/2023,Dropped,20/12/2023,,16,49,10,127.2,project,45.64,39.51,33.8,3
Kathryn Moore,,non binary,Region VII,broadband,Graduate,Student,Laptop,10.6,personal interest,9,Cloud Computing Basics,Business,Beginner,24,15,14,15/05/2022,Dropped,27/05/2023,158,168,12,11,133.1,Quiz,42.87,,40.91,4
